################################################################################
# Weather Forecasting Dataset - Seasonal Statistics
# 
# Project: Weather Forecasting Dataset
# Author: Molla Samser | Website: https://rskworld.in
# Email: help@rskworld.in | Phone: +91 93305 39277
# Designer & Tester: Rima Khatun
#
# Description: Monthly and seasonal weather statistics for trend analysis
#
# © 2024 RSK World - https://rskworld.in
################################################################################

year,month,season,location,temp_mean,temp_min,temp_max,temp_std,humidity_mean,humidity_min,humidity_max,pressure_mean,wind_speed_mean,wind_speed_max,precipitation_total,precipitation_days,sunny_days,cloudy_days,rainy_days,foggy_days,aqi_mean,uv_index_max
2023,12,Winter,Mumbai,27.8,20.5,34.2,3.2,62,42,78,1014,11.5,26.8,0.0,0,28,3,0,0,82,7
2023,1,Winter,Bangalore,22.5,14.2,30.8,4.0,62,42,82,1015,8.2,22.5,2.5,1,26,4,1,0,55,8
2023,2,Winter,Bangalore,24.8,15.5,33.5,4.5,55,35,75,1013,9.5,25.8,0.0,0,25,3,0,0,52,9
2023,3,Spring,Bangalore,28.2,18.5,36.5,4.2,48,28,68,1011,11.2,28.5,5.2,1,27,3,1,0,48,10
2023,4,Spring,Bangalore,32.5,22.5,38.8,3.8,52,32,75,1008,12.8,32.5,45.5,5,22,4,5,0,45,11
2023,5,Summer,Bangalore,33.8,24.2,40.2,3.5,58,38,82,1006,14.5,38.5,85.5,8,18,5,8,0,42,11
2023,6,Summer,Bangalore,28.5,22.5,34.5,2.8,72,55,92,1005,12.2,32.5,45.2,6,15,9,6,0,48,8
2023,7,Monsoon,Bangalore,26.8,21.8,32.2,2.5,78,62,95,1004,10.5,28.5,95.5,12,10,8,12,0,52,7
2023,8,Monsoon,Bangalore,26.5,21.5,31.8,2.2,82,65,98,1005,9.8,25.8,125.8,15,8,8,15,0,55,6
2023,9,Monsoon,Bangalore,27.2,21.2,33.5,2.8,78,58,95,1007,10.2,28.5,145.5,14,9,7,14,0,52,7
2023,10,Autumn,Bangalore,26.5,19.8,33.2,3.2,72,52,92,1010,8.8,24.5,125.2,10,15,6,10,0,48,8
2023,11,Autumn,Bangalore,24.2,16.5,31.5,3.8,68,48,88,1013,7.5,20.8,35.5,4,22,4,4,0,52,7
2023,12,Winter,Bangalore,22.8,14.8,30.2,3.8,65,45,85,1014,7.2,18.5,5.2,1,26,4,1,0,55,6
2023,1,Winter,Kolkata,20.5,10.5,28.8,4.5,72,48,92,1018,6.5,18.5,8.5,1,22,5,1,3,105,6
2023,2,Winter,Kolkata,24.5,13.8,32.5,4.8,62,38,85,1015,8.2,22.5,12.5,2,22,4,2,0,95,7
2023,3,Spring,Kolkata,30.2,20.5,38.5,4.2,52,30,75,1010,10.5,28.5,15.2,2,25,4,2,0,85,9
2023,4,Spring,Kolkata,35.8,26.5,42.5,3.8,55,32,78,1006,12.8,35.5,32.5,3,24,4,3,0,78,10
2023,5,Summer,Kolkata,36.5,28.2,43.2,3.2,62,42,85,1004,15.5,42.5,85.5,6,20,5,6,0,72,11
2023,6,Summer,Kolkata,33.5,26.8,38.8,2.5,78,58,95,1002,18.2,48.5,285.5,15,10,5,15,0,65,9
2023,7,Monsoon,Kolkata,31.2,26.2,35.5,2.0,85,68,98,1000,16.5,45.2,385.2,20,5,6,20,0,58,7
2023,8,Monsoon,Kolkata,31.5,26.5,35.8,1.8,88,72,99,1002,14.8,42.5,345.8,18,6,6,18,0,55,6
2023,9,Monsoon,Kolkata,31.2,25.8,35.5,2.2,82,62,95,1005,12.5,35.5,245.2,14,10,6,14,0,62,7
2023,10,Autumn,Kolkata,29.5,22.5,35.2,3.0,72,48,88,1010,8.5,25.5,85.5,5,20,5,5,0,85,8
2023,11,Autumn,Kolkata,25.5,16.5,32.8,3.8,68,45,88,1015,6.5,18.5,12.5,1,25,4,1,0,95,6
2023,12,Winter,Kolkata,21.2,11.8,29.5,4.2,72,48,92,1018,5.8,15.8,5.2,1,24,4,1,2,108,5
2023,1,Winter,Chennai,26.5,20.5,32.8,3.0,72,52,92,1013,10.5,25.5,15.5,2,24,5,2,0,68,9
2023,2,Winter,Chennai,28.2,21.5,34.5,3.2,65,45,85,1011,12.2,28.5,5.2,1,25,3,1,0,62,10
2023,3,Spring,Chennai,30.8,23.5,37.2,3.5,58,38,78,1008,14.5,32.5,2.5,0,27,3,0,0,55,11
2023,4,Spring,Chennai,33.5,26.5,39.8,3.2,62,42,82,1006,16.8,38.5,8.5,1,26,3,1,0,52,11
2023,5,Summer,Chennai,36.2,28.5,42.5,3.0,65,45,85,1004,18.5,42.5,25.5,2,25,3,2,0,48,11
2023,6,Summer,Chennai,35.5,28.2,41.2,2.5,62,42,82,1003,22.5,48.5,32.5,3,24,3,3,0,45,10
2023,7,Monsoon,Chennai,34.2,27.5,39.8,2.2,68,48,88,1002,20.5,45.2,45.5,4,22,5,4,0,48,9
2023,8,Monsoon,Chennai,33.5,26.8,38.5,2.0,72,52,92,1003,18.2,42.5,85.2,6,20,5,6,0,52,8
2023,9,Monsoon,Chennai,32.2,25.5,37.5,2.2,78,58,95,1005,15.5,38.5,125.5,10,15,5,10,0,55,8
2023,10,Monsoon,Chennai,30.5,24.2,35.8,2.5,82,62,98,1008,12.5,32.5,285.5,15,10,5,15,0,62,7
2023,11,Autumn,Chennai,28.5,22.5,34.2,2.8,78,55,95,1012,10.2,28.5,185.5,12,12,6,12,0,65,7
2023,12,Winter,Chennai,26.8,20.8,32.5,2.8,75,52,92,1014,9.5,24.5,45.5,4,22,5,4,0,70,6

