################################################################################
# Weather Forecasting Dataset - Main Weather Data
# 
# Project: Weather Forecasting Dataset
# Category: Time Series Data
# Version: 1.0.0
# Created: 2024
#
# Author: Molla Samser
# Designer & Tester: Rima Khatun
# Website: https://rskworld.in
# Email: help@rskworld.in | support@rskworld.in
# Phone: +91 93305 39277
#
# About RSK World:
# RSK World is your one-stop destination for free programming resources,
# source code, and development tools.
#
# Description:
# This dataset includes historical weather data with temperature, humidity,
# pressure, precipitation, wind speed, and other meteorological variables.
# Perfect for weather forecasting, climate analysis, and time series prediction.
#
# Features:
# - Temperature and humidity data
# - Pressure and precipitation
# - Wind speed and direction
# - Multiple locations
# - Time series format
#
# License: Educational Purpose Only
# Content used for educational purposes only.
#
# © 2024 RSK World - https://rskworld.in
################################################################################

date,time,location,latitude,longitude,temperature_celsius,temperature_fahrenheit,feels_like_celsius,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction,wind_gust_kmh,precipitation_mm,precipitation_probability,cloud_cover_percent,visibility_km,uv_index,dew_point_celsius,weather_condition,weather_description
2024-01-01,09:00,Mumbai,19.0760,72.8777,25.5,77.9,25.8,68,1015,14.2,SSW,21.5,0.0,5,32,14.5,4,18.8,Sunny,Bright morning sunshine
2024-01-01,12:00,Mumbai,19.0760,72.8777,29.8,85.6,30.5,55,1013,16.8,S,24.2,0.0,3,18,16.0,7,19.5,Sunny,Hot afternoon
2024-01-01,15:00,Mumbai,19.0760,72.8777,31.2,88.2,32.5,48,1011,18.5,SSE,28.5,0.0,5,15,18.5,8,18.2,Sunny,Peak heat of day
2024-01-01,18:00,Mumbai,19.0760,72.8777,28.5,83.3,28.8,58,1012,15.2,SE,22.8,0.0,8,25,15.2,3,19.2,Clear,Pleasant evening
2024-01-01,21:00,Mumbai,19.0760,72.8777,25.2,77.4,25.0,68,1013,13.5,ESE,19.5,0.0,5,32,13.8,0,18.5,Clear,Warm night beginning
2024-01-02,00:00,Mumbai,19.0760,72.8777,23.8,74.8,23.5,72,1014,12.0,E,17.5,0.0,8,38,12.5,0,18.8,Clear,Tropical night
2024-01-02,03:00,Mumbai,19.0760,72.8777,22.5,72.5,22.0,76,1015,10.8,ENE,15.8,0.0,10,45,11.8,0,18.2,Partly Cloudy,Humid with some clouds
2024-01-02,06:00,Mumbai,19.0760,72.8777,21.8,71.2,21.2,80,1016,9.5,NE,14.2,0.0,12,52,10.5,1,17.8,Haze,Coastal morning haze
2024-01-02,09:00,Mumbai,19.0760,72.8777,26.2,79.2,26.8,65,1015,13.8,N,20.5,0.0,8,35,13.8,4,18.5,Sunny,Clear morning
2024-01-02,12:00,Mumbai,19.0760,72.8777,30.5,86.9,31.2,52,1013,17.5,NNW,26.2,0.0,5,20,16.5,7,19.2,Sunny,Hot and sunny
2024-01-02,15:00,Mumbai,19.0760,72.8777,32.0,89.6,33.5,45,1011,19.2,NW,30.5,0.0,3,12,19.0,8,17.8,Sunny,Very hot afternoon
2024-01-02,18:00,Mumbai,19.0760,72.8777,29.2,84.6,29.8,55,1012,16.0,WNW,24.5,0.0,5,22,16.2,3,18.5,Clear,Cooling evening
2024-01-02,21:00,Mumbai,19.0760,72.8777,26.0,78.8,25.8,65,1013,14.2,W,21.0,0.0,8,30,14.5,0,18.8,Clear,Pleasant night
2024-01-01,00:00,Bangalore,12.9716,77.5946,18.5,65.3,17.8,72,1015,8.5,NE,12.5,0.0,5,42,10.5,1,13.5,Clear,Cool pleasant night
2024-01-01,03:00,Bangalore,12.9716,77.5946,17.2,63.0,16.5,78,1016,7.2,N,10.8,0.0,8,48,9.8,0,13.2,Clear,Cold early morning
2024-01-01,06:00,Bangalore,12.9716,77.5946,16.5,61.7,15.8,82,1017,6.5,NNE,9.5,0.0,10,55,8.5,1,13.5,Mist,Morning mist
2024-01-01,09:00,Bangalore,12.9716,77.5946,22.5,72.5,22.0,62,1018,10.5,E,15.8,0.0,5,35,12.8,4,14.8,Sunny,Pleasant morning
2024-01-01,12:00,Bangalore,12.9716,77.5946,27.8,82.0,27.5,48,1016,13.2,ESE,19.5,0.0,3,22,15.2,6,15.2,Sunny,Warm afternoon
2024-01-01,15:00,Bangalore,12.9716,77.5946,28.5,83.3,28.2,45,1014,14.8,SE,22.0,0.0,5,18,16.5,5,14.5,Sunny,Peak afternoon
2024-01-01,18:00,Bangalore,12.9716,77.5946,25.2,77.4,24.8,55,1015,11.5,S,17.2,0.0,8,28,14.0,2,14.8,Clear,Pleasant evening
2024-01-01,21:00,Bangalore,12.9716,77.5946,21.5,70.7,21.0,65,1016,9.2,SSW,13.5,0.0,5,38,11.5,0,14.5,Clear,Cool night
2024-01-02,00:00,Bangalore,12.9716,77.5946,19.2,66.6,18.5,70,1017,8.0,SW,11.8,0.0,8,45,10.2,0,13.8,Partly Cloudy,Mild night
2024-01-02,03:00,Bangalore,12.9716,77.5946,17.8,64.0,17.0,75,1018,6.8,WSW,10.2,0.0,10,52,9.5,0,13.5,Cloudy,Cool with clouds
2024-01-02,06:00,Bangalore,12.9716,77.5946,17.0,62.6,16.2,80,1019,6.2,W,9.0,0.0,12,58,8.8,0,13.8,Mist,Misty morning
2024-01-02,09:00,Bangalore,12.9716,77.5946,23.2,73.8,22.8,60,1018,11.0,WNW,16.5,0.0,8,32,13.2,4,15.0,Partly Cloudy,Warming with clouds
2024-01-02,12:00,Bangalore,12.9716,77.5946,28.5,83.3,28.0,45,1016,14.0,NW,20.8,0.0,5,20,15.8,6,14.8,Sunny,Warm sunny afternoon
2024-01-02,15:00,Bangalore,12.9716,77.5946,29.2,84.6,29.0,42,1014,15.5,NNW,23.2,0.0,3,15,17.0,5,14.2,Sunny,Hot afternoon
2024-01-02,18:00,Bangalore,12.9716,77.5946,26.0,78.8,25.5,52,1015,12.2,N,18.0,0.0,5,25,14.5,2,15.2,Clear,Cooling evening
2024-01-02,21:00,Bangalore,12.9716,77.5946,22.2,72.0,21.8,62,1016,9.8,NE,14.2,0.0,8,35,12.0,0,14.8,Clear,Pleasant night
2024-01-01,00:00,Kolkata,22.5726,88.3639,16.5,61.7,15.2,82,1018,6.5,N,9.8,0.0,8,55,8.5,1,13.5,Clear,Cool winter night
2024-01-01,03:00,Kolkata,22.5726,88.3639,15.2,59.4,13.8,86,1019,5.5,NNE,8.2,0.0,10,62,7.5,0,12.8,Clear,Cold pre-dawn
2024-01-01,06:00,Kolkata,22.5726,88.3639,14.5,58.1,13.0,90,1020,5.0,NE,7.5,0.0,12,68,6.2,0,12.8,Fog,Dense morning fog
2024-01-01,09:00,Kolkata,22.5726,88.3639,19.5,67.1,18.8,72,1019,8.5,E,13.2,0.0,5,45,9.8,3,14.2,Partly Cloudy,Fog clearing
2024-01-01,12:00,Kolkata,22.5726,88.3639,24.5,76.1,24.0,58,1017,12.5,ESE,18.5,0.0,3,32,12.5,5,15.2,Sunny,Pleasant afternoon
2024-01-01,15:00,Kolkata,22.5726,88.3639,26.2,79.2,25.8,52,1015,14.2,SE,21.0,0.0,5,25,14.0,4,14.8,Sunny,Warm afternoon
2024-01-01,18:00,Kolkata,22.5726,88.3639,22.8,73.0,22.2,65,1016,10.5,S,15.5,0.0,8,38,11.5,2,15.5,Clear,Cooling evening
2024-01-01,21:00,Kolkata,22.5726,88.3639,19.2,66.6,18.5,75,1017,8.0,SSW,11.8,0.0,10,48,9.5,0,14.8,Clear,Cool night
2024-01-02,00:00,Kolkata,22.5726,88.3639,17.0,62.6,15.8,80,1018,6.8,SW,10.2,0.0,12,55,8.2,0,13.5,Partly Cloudy,Winter night
2024-01-02,03:00,Kolkata,22.5726,88.3639,15.5,59.9,14.2,85,1019,5.8,WSW,8.5,0.0,15,62,7.0,0,12.8,Cloudy,Cold and cloudy
2024-01-02,06:00,Kolkata,22.5726,88.3639,14.8,58.6,13.5,88,1020,5.2,W,7.8,0.0,18,70,5.8,0,12.8,Fog,Morning fog returns
2024-01-02,09:00,Kolkata,22.5726,88.3639,20.2,68.4,19.5,70,1019,9.0,WNW,14.0,0.0,8,42,10.2,3,14.5,Haze,Hazy morning
2024-01-02,12:00,Kolkata,22.5726,88.3639,25.2,77.4,24.8,55,1017,13.0,NW,19.2,0.0,5,28,13.0,5,15.0,Sunny,Warm and sunny
2024-01-02,15:00,Kolkata,22.5726,88.3639,26.8,80.2,26.5,50,1015,14.8,NNW,22.0,0.0,3,22,14.5,4,15.2,Sunny,Pleasant afternoon
2024-01-02,18:00,Kolkata,22.5726,88.3639,23.5,74.3,23.0,62,1016,11.2,N,16.5,0.0,8,35,12.0,2,15.8,Clear,Evening cooldown
2024-01-02,21:00,Kolkata,22.5726,88.3639,19.8,67.6,19.2,72,1017,8.5,NE,12.5,0.0,10,45,10.0,0,14.5,Clear,Cool winter night
2024-01-01,00:00,Chennai,13.0827,80.2707,24.5,76.1,24.2,78,1012,10.5,NE,15.5,0.0,8,45,11.5,1,20.5,Clear,Warm coastal night
2024-01-01,03:00,Chennai,13.0827,80.2707,23.5,74.3,23.0,82,1013,9.2,N,13.8,0.0,10,52,10.8,0,20.2,Clear,Humid night
2024-01-01,06:00,Chennai,13.0827,80.2707,22.8,73.0,22.2,85,1014,8.5,NNE,12.5,0.0,12,58,9.5,1,20.0,Haze,Coastal morning haze
2024-01-01,09:00,Chennai,13.0827,80.2707,27.5,81.5,27.8,68,1015,12.8,E,19.0,0.0,5,38,13.2,5,20.8,Sunny,Pleasant morning
2024-01-01,12:00,Chennai,13.0827,80.2707,31.5,88.7,32.2,55,1013,16.5,ESE,24.5,0.0,3,25,15.5,7,21.2,Sunny,Hot afternoon
2024-01-01,15:00,Chennai,13.0827,80.2707,32.8,91.0,34.0,48,1011,18.2,SE,27.5,0.0,5,18,17.5,8,20.5,Sunny,Very hot
2024-01-01,18:00,Chennai,13.0827,80.2707,29.5,85.1,29.8,58,1012,14.5,S,21.5,0.0,8,28,14.8,3,21.0,Clear,Warm evening
2024-01-01,21:00,Chennai,13.0827,80.2707,26.2,79.2,26.0,70,1013,11.8,SSW,17.5,0.0,10,38,12.5,0,20.5,Clear,Pleasant night
2024-01-02,00:00,Chennai,13.0827,80.2707,24.8,76.6,24.5,76,1014,10.2,SW,15.0,0.0,8,45,11.8,0,20.2,Clear,Tropical night
2024-01-02,03:00,Chennai,13.0827,80.2707,23.8,74.8,23.5,80,1015,9.0,WSW,13.2,0.0,10,52,10.5,0,20.5,Partly Cloudy,Humid with clouds
2024-01-02,06:00,Chennai,13.0827,80.2707,23.0,73.4,22.5,84,1016,8.2,W,12.0,0.0,12,58,9.8,1,20.0,Haze,Morning haze
2024-01-02,09:00,Chennai,13.0827,80.2707,28.2,82.8,28.8,65,1015,13.5,WNW,20.0,0.0,5,35,13.8,5,21.0,Sunny,Warming up
2024-01-02,12:00,Chennai,13.0827,80.2707,32.0,89.6,32.8,52,1013,17.2,NW,25.5,0.0,3,22,16.0,7,20.8,Sunny,Hot midday
2024-01-02,15:00,Chennai,13.0827,80.2707,33.5,92.3,35.0,45,1011,19.0,NNW,29.0,0.0,3,15,18.0,8,20.2,Sunny,Peak heat
2024-01-02,18:00,Chennai,13.0827,80.2707,30.2,86.4,30.8,55,1012,15.2,N,22.5,0.0,5,25,15.2,3,20.8,Clear,Evening cooling
2024-01-02,21:00,Chennai,13.0827,80.2707,26.8,80.2,26.5,68,1013,12.5,NE,18.5,0.0,8,35,13.0,0,20.5,Clear,Warm night
2024-01-03,00:00,New Delhi,28.6139,77.2090,11.8,53.2,9.5,82,1018,7.0,N,10.2,0.0,8,50,8.0,0,8.8,Clear,Cold winter night
2024-01-03,06:00,New Delhi,28.6139,77.2090,9.5,49.1,7.0,90,1020,5.5,NE,8.0,0.0,10,65,5.5,0,7.8,Fog,Dense morning fog
2024-01-03,12:00,New Delhi,28.6139,77.2090,17.5,63.5,16.8,60,1018,11.0,E,16.5,0.0,5,30,12.0,4,9.5,Sunny,Pleasant afternoon
2024-01-03,18:00,New Delhi,28.6139,77.2090,15.5,59.9,14.2,68,1017,9.5,SE,14.0,0.0,8,40,10.8,2,10.0,Clear,Cool evening
2024-01-03,00:00,Mumbai,19.0760,72.8777,22.0,71.6,21.5,76,1015,11.5,W,17.0,0.0,5,38,12.0,0,18.0,Clear,Tropical night
2024-01-03,06:00,Mumbai,19.0760,72.8777,20.8,69.4,20.0,82,1016,9.8,SW,14.5,0.0,10,50,10.2,1,17.5,Haze,Coastal haze
2024-01-03,12:00,Mumbai,19.0760,72.8777,30.0,86.0,30.8,53,1014,17.0,S,25.5,0.0,3,18,16.5,7,19.0,Sunny,Hot afternoon
2024-01-03,18:00,Mumbai,19.0760,72.8777,28.0,82.4,28.2,60,1013,14.8,SE,22.0,0.0,5,25,15.0,3,19.0,Clear,Warm evening
2024-01-03,00:00,Bangalore,12.9716,77.5946,18.0,64.4,17.2,74,1018,7.5,NE,11.0,0.0,5,45,10.0,0,13.5,Clear,Cool night
2024-01-03,06:00,Bangalore,12.9716,77.5946,16.2,61.2,15.5,82,1019,6.0,N,8.8,0.0,8,55,8.5,0,13.2,Mist,Morning mist
2024-01-03,12:00,Bangalore,12.9716,77.5946,28.0,82.4,27.5,46,1017,13.5,E,20.0,0.0,5,22,15.5,6,14.8,Sunny,Warm afternoon
2024-01-03,18:00,Bangalore,12.9716,77.5946,25.5,77.9,25.0,54,1016,11.8,SE,17.5,0.0,5,28,14.2,2,15.0,Clear,Pleasant evening
2024-01-03,00:00,Kolkata,22.5726,88.3639,16.0,60.8,14.8,84,1019,6.2,N,9.2,0.0,10,58,7.8,0,13.2,Clear,Cool winter night
2024-01-03,06:00,Kolkata,22.5726,88.3639,13.8,56.8,12.2,92,1021,4.8,NE,7.0,0.0,15,72,5.5,0,12.5,Fog,Heavy morning fog
2024-01-03,12:00,Kolkata,22.5726,88.3639,24.8,76.6,24.2,56,1018,12.8,E,19.0,0.0,5,30,12.8,5,15.0,Sunny,Warm and pleasant
2024-01-03,18:00,Kolkata,22.5726,88.3639,22.2,72.0,21.5,65,1017,10.0,S,14.8,0.0,8,38,11.5,2,15.2,Clear,Cool evening
2024-01-03,00:00,Chennai,13.0827,80.2707,24.0,75.2,23.8,78,1014,10.0,NE,14.8,0.0,8,48,11.2,0,20.0,Clear,Warm coastal night
2024-01-03,06:00,Chennai,13.0827,80.2707,22.5,72.5,22.0,86,1015,8.0,N,11.8,0.0,10,55,9.5,1,19.8,Haze,Morning coastal haze
2024-01-03,12:00,Chennai,13.0827,80.2707,31.8,89.2,32.5,53,1013,16.8,E,25.0,0.0,3,22,15.8,7,20.8,Sunny,Hot midday
2024-01-03,18:00,Chennai,13.0827,80.2707,29.8,85.6,30.2,58,1012,14.8,SE,22.0,0.0,5,28,15.0,3,20.8,Clear,Warm evening
2024-01-04,00:00,New Delhi,28.6139,77.2090,10.5,50.9,8.2,85,1019,6.5,NNW,9.5,0.0,10,55,7.5,0,7.8,Clear,Very cold night
2024-01-04,06:00,New Delhi,28.6139,77.2090,8.2,46.8,5.5,92,1021,5.0,N,7.2,0.0,12,70,4.8,0,6.8,Fog,Dense fog
2024-01-04,12:00,New Delhi,28.6139,77.2090,16.8,62.2,16.0,62,1019,10.5,NE,15.8,0.0,5,32,11.8,4,9.0,Sunny,Sunny after fog clears
2024-01-04,18:00,New Delhi,28.6139,77.2090,14.5,58.1,13.2,70,1018,8.8,E,13.2,0.0,8,42,10.5,2,9.5,Clear,Cool winter evening
2024-01-04,00:00,Mumbai,19.0760,72.8777,21.5,70.7,21.0,78,1016,11.0,W,16.5,0.0,8,40,11.8,0,17.8,Clear,Mild tropical night
2024-01-04,06:00,Mumbai,19.0760,72.8777,20.5,68.9,19.8,84,1017,9.2,SW,13.8,0.0,10,52,10.0,1,17.5,Haze,Morning haze
2024-01-04,12:00,Mumbai,19.0760,72.8777,29.5,85.1,30.2,55,1015,16.5,S,24.8,0.0,3,20,16.2,7,18.8,Sunny,Hot sunny day
2024-01-04,18:00,Mumbai,19.0760,72.8777,27.5,81.5,27.8,62,1014,14.2,SE,21.2,0.0,5,28,14.8,3,18.8,Clear,Pleasant evening
2024-01-04,00:00,Bangalore,12.9716,77.5946,17.5,63.5,16.8,76,1019,7.2,NE,10.5,0.0,8,48,9.8,0,13.2,Clear,Cool night
2024-01-04,06:00,Bangalore,12.9716,77.5946,15.8,60.4,15.0,84,1020,5.8,N,8.5,0.0,10,58,8.2,0,13.0,Mist,Light morning mist
2024-01-04,12:00,Bangalore,12.9716,77.5946,27.5,81.5,27.0,48,1018,13.0,E,19.5,0.0,3,24,15.2,6,14.5,Sunny,Warm and sunny
2024-01-04,18:00,Bangalore,12.9716,77.5946,25.0,77.0,24.5,56,1017,11.5,SE,17.0,0.0,5,30,14.0,2,14.8,Clear,Pleasant evening
2024-01-04,00:00,Kolkata,22.5726,88.3639,15.5,59.9,14.2,86,1020,5.8,N,8.8,0.0,12,60,7.5,0,13.0,Clear,Cold winter night
2024-01-04,06:00,Kolkata,22.5726,88.3639,13.2,55.8,11.5,94,1022,4.5,NE,6.5,0.0,18,75,5.0,0,12.2,Fog,Very dense fog
2024-01-04,12:00,Kolkata,22.5726,88.3639,24.2,75.6,23.8,58,1019,12.5,E,18.5,0.0,5,32,12.5,5,14.8,Sunny,Pleasant winter afternoon
2024-01-04,18:00,Kolkata,22.5726,88.3639,21.8,71.2,21.2,68,1018,9.8,S,14.5,0.0,8,40,11.2,2,15.0,Clear,Cool evening
2024-01-04,00:00,Chennai,13.0827,80.2707,23.5,74.3,23.2,80,1015,9.5,NE,14.0,0.0,10,50,11.0,0,19.8,Clear,Warm coastal night
2024-01-04,06:00,Chennai,13.0827,80.2707,22.0,71.6,21.5,88,1016,7.8,N,11.5,0.0,12,58,9.2,1,19.5,Haze,Coastal morning haze
2024-01-04,12:00,Chennai,13.0827,80.2707,31.2,88.2,32.0,55,1014,16.2,E,24.2,0.0,3,24,15.5,7,20.5,Sunny,Hot afternoon
2024-01-04,18:00,Chennai,13.0827,80.2707,29.2,84.6,29.5,60,1013,14.5,SE,21.5,0.0,5,30,14.8,3,20.5,Clear,Warm evening
2024-01-05,00:00,New Delhi,28.6139,77.2090,11.2,52.2,9.0,83,1018,6.8,N,10.0,0.0,8,52,7.8,0,8.2,Partly Cloudy,Cold night with clouds
2024-01-05,06:00,New Delhi,28.6139,77.2090,9.0,48.2,6.5,90,1020,5.2,NE,7.5,0.0,10,68,5.2,0,7.5,Fog,Morning fog
2024-01-05,12:00,New Delhi,28.6139,77.2090,17.2,63.0,16.5,58,1018,11.2,E,16.8,0.0,3,28,12.2,5,9.2,Sunny,Clear sunny day
2024-01-05,18:00,New Delhi,28.6139,77.2090,15.0,59.0,13.8,68,1017,9.2,SE,13.8,0.0,5,38,11.0,2,9.8,Clear,Pleasant evening
2024-01-05,00:00,Mumbai,19.0760,72.8777,22.2,72.0,21.8,76,1015,11.2,W,16.8,0.0,5,38,12.0,0,18.0,Clear,Tropical night
2024-01-05,06:00,Mumbai,19.0760,72.8777,21.0,69.8,20.2,82,1016,9.5,SW,14.0,0.0,8,48,10.5,1,17.8,Haze,Coastal morning
2024-01-05,12:00,Mumbai,19.0760,72.8777,30.2,86.4,31.0,52,1014,17.2,S,25.8,0.0,3,18,16.8,7,19.2,Sunny,Hot and sunny
2024-01-05,18:00,Mumbai,19.0760,72.8777,28.2,82.8,28.5,58,1013,15.0,SE,22.5,0.0,5,25,15.2,3,19.0,Clear,Warm evening
2024-01-05,00:00,Bangalore,12.9716,77.5946,18.2,64.8,17.5,72,1018,7.8,NE,11.5,0.0,5,42,10.2,0,13.5,Clear,Cool pleasant night
2024-01-05,06:00,Bangalore,12.9716,77.5946,16.5,61.7,15.8,80,1019,6.2,N,9.0,0.0,8,52,8.8,0,13.2,Mist,Light mist
2024-01-05,12:00,Bangalore,12.9716,77.5946,28.2,82.8,27.8,45,1017,13.8,E,20.5,0.0,3,20,15.8,6,15.0,Sunny,Warm sunny afternoon
2024-01-05,18:00,Bangalore,12.9716,77.5946,25.8,78.4,25.2,52,1016,12.0,SE,17.8,0.0,5,26,14.5,2,15.2,Clear,Pleasant evening
2024-01-05,00:00,Kolkata,22.5726,88.3639,16.2,61.2,15.0,82,1019,6.0,N,9.0,0.0,10,55,8.0,0,13.2,Clear,Cool winter night
2024-01-05,06:00,Kolkata,22.5726,88.3639,14.0,57.2,12.5,90,1021,4.8,NE,7.0,0.0,15,70,5.5,0,12.5,Fog,Morning fog
2024-01-05,12:00,Kolkata,22.5726,88.3639,25.0,77.0,24.5,55,1018,13.0,E,19.2,0.0,3,28,13.0,5,15.2,Sunny,Pleasant sunny day
2024-01-05,18:00,Kolkata,22.5726,88.3639,22.5,72.5,22.0,62,1017,10.2,S,15.0,0.0,5,35,11.8,2,15.5,Clear,Cool evening
2024-01-05,00:00,Chennai,13.0827,80.2707,24.2,75.6,24.0,76,1014,10.2,NE,15.0,0.0,8,45,11.5,0,20.2,Clear,Warm coastal night
2024-01-05,06:00,Chennai,13.0827,80.2707,22.8,73.0,22.2,84,1015,8.2,N,12.0,0.0,10,52,9.8,1,20.0,Haze,Coastal haze
2024-01-05,12:00,Chennai,13.0827,80.2707,32.0,89.6,32.8,50,1013,17.0,E,25.5,0.0,3,20,16.2,8,20.5,Sunny,Hot afternoon
2024-01-05,18:00,Chennai,13.0827,80.2707,29.5,85.1,30.0,56,1012,15.0,SE,22.2,0.0,5,26,15.2,3,20.8,Clear,Warm evening

