################################################################################
# Weather Forecasting Dataset - Advanced Weather Data
# 
# Project: Weather Forecasting Dataset
# Category: Time Series Data
# Version: 2.0.0
# Created: 2024
#
# Author: Molla Samser
# Designer & Tester: Rima Khatun
# Website: https://rskworld.in
# Email: help@rskworld.in | support@rskworld.in
# Phone: +91 93305 39277
#
# About RSK World:
# RSK World is your one-stop destination for free programming resources,
# source code, and development tools.
#
# Description:
# Advanced weather data with air quality index, solar radiation, soil
# conditions, climate indices, and weather alerts.
#
# © 2024 RSK World - https://rskworld.in
################################################################################

datetime,location,temperature_celsius,feels_like_celsius,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction_deg,wind_gust_kmh,precipitation_mm,precipitation_type,cloud_cover_percent,visibility_km,uv_index,solar_radiation_wm2,air_quality_index,pm25,pm10,ozone_ppb,no2_ppb,so2_ppb,co_ppm,soil_temperature_celsius,soil_moisture_percent,evapotranspiration_mm,heat_index_celsius,wind_chill_celsius,dew_point_celsius,wet_bulb_celsius,cloud_base_m,weather_code,weather_severity,is_daylight,sunrise,sunset,moon_phase,astronomical_twilight_start,astronomical_twilight_end
2024-01-01 10:00:00,New Delhi,16.2,15.5,65,1017,10.8,55,16.5,0.0,none,30,11.5,5,450,138,78,118,50,25,10,0.8,13.5,33,0.8,16.2,15.5,9.8,12.8,1350,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 11:00:00,New Delhi,17.5,16.8,60,1016,11.8,62,18.2,0.0,none,28,12.2,6,550,132,72,112,55,22,9,0.7,14.8,32,1.0,17.5,16.8,10.1,13.5,1450,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 12:00:00,New Delhi,18.2,17.5,58,1016,12.3,68,18.5,0.0,none,28,12.5,6,580,128,68,108,58,20,8,0.7,15.5,31,1.2,18.2,17.5,10.4,13.9,1500,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 13:00:00,New Delhi,18.8,18.0,55,1015,13.0,72,19.5,0.0,none,25,13.0,6,560,125,65,105,60,18,7,0.6,16.0,30,1.3,18.8,18.0,10.2,13.8,1550,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 14:00:00,New Delhi,19.2,18.5,53,1014,14.0,78,20.8,0.0,none,22,13.5,5,480,122,62,102,58,17,7,0.6,16.2,30,1.4,19.2,18.5,10.0,13.6,1600,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 15:00:00,New Delhi,19.5,18.8,52,1014,14.5,82,21.2,0.0,none,22,14.0,5,380,120,60,100,55,16,6,0.6,16.5,29,1.4,19.5,18.8,9.8,13.4,1650,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 16:00:00,New Delhi,18.8,18.0,55,1015,13.5,85,19.8,0.0,none,28,13.2,4,250,125,65,105,52,18,7,0.7,15.8,30,1.2,18.8,18.0,10.2,13.5,1550,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 17:00:00,New Delhi,17.8,17.0,60,1015,12.0,88,17.5,0.0,none,32,12.0,2,120,130,70,110,48,20,8,0.8,14.8,31,0.9,17.8,17.0,10.5,13.8,1450,0,0,1,07:15,17:45,0.72,05:45,19:15
2024-01-01 18:00:00,New Delhi,16.8,15.5,65,1015,10.2,90,15.8,0.0,none,38,11.5,1,25,135,75,115,45,22,9,0.9,13.5,32,0.6,16.8,15.5,10.8,13.5,1350,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 19:00:00,New Delhi,15.8,14.2,70,1016,9.5,88,14.5,0.0,none,42,10.5,0,0,140,80,120,42,24,10,0.9,12.5,33,0.3,15.8,14.2,10.5,13.0,1280,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 20:00:00,New Delhi,15.0,13.5,72,1016,8.8,85,13.8,0.0,none,45,9.8,0,0,142,82,122,40,25,11,0.9,11.8,34,0.2,15.0,13.5,10.2,12.5,1230,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 21:00:00,New Delhi,14.2,12.8,75,1016,8.5,82,12.5,0.0,none,48,9.2,0,0,145,85,125,38,26,12,1.0,11.0,35,0.1,14.2,12.8,9.9,12.0,1180,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 22:00:00,New Delhi,13.5,12.0,77,1017,8.0,78,11.8,0.0,none,50,8.8,0,0,148,88,128,36,27,12,1.0,10.5,35,0.0,13.5,12.0,9.6,11.5,1150,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 23:00:00,New Delhi,13.0,11.5,78,1017,7.8,72,11.2,0.0,none,52,8.5,0,0,150,90,130,35,28,13,1.0,10.2,36,0.0,13.0,11.5,9.3,11.2,1120,0,0,0,07:15,17:45,0.72,05:45,19:15
2024-01-01 00:00:00,Mumbai,22.5,22.0,75,1012,12.5,270,18.5,0.0,none,35,12.0,0,0,78,45,65,42,18,5,0.4,20.5,42,0.0,22.5,22.0,18.2,20.2,1800,0,0,0,07:05,18:15,0.72,05:35,19:45
2024-01-01 03:00:00,Mumbai,21.8,21.2,78,1013,11.2,262,16.8,0.0,none,42,11.5,0,0,75,42,62,40,17,5,0.4,19.8,43,0.0,21.8,21.2,17.8,19.6,1750,0,0,0,07:05,18:15,0.72,05:35,19:45
2024-01-01 06:00:00,Mumbai,21.2,20.5,82,1014,10.5,252,15.2,0.0,none,48,10.8,1,30,72,40,60,38,16,4,0.4,19.2,44,0.1,21.2,20.5,18.2,19.5,1680,51,1,0,07:05,18:15,0.72,05:35,19:45
2024-01-01 09:00:00,Mumbai,25.5,25.8,68,1015,14.2,265,21.5,0.0,none,32,14.5,5,420,65,35,55,48,14,4,0.3,22.5,40,0.8,25.8,25.8,18.8,21.8,2000,0,0,1,07:05,18:15,0.72,05:35,19:45
2024-01-01 12:00:00,Mumbai,29.8,30.5,55,1013,16.8,285,24.2,0.0,none,18,16.0,8,720,58,28,48,55,12,3,0.3,26.0,35,1.5,31.2,30.5,19.5,23.5,2200,0,0,1,07:05,18:15,0.72,05:35,19:45
2024-01-01 15:00:00,Mumbai,31.2,32.5,48,1011,18.5,298,28.5,0.0,none,15,18.5,7,520,55,25,45,52,11,3,0.2,27.2,32,1.8,33.5,32.5,18.2,22.8,2350,0,0,1,07:05,18:15,0.72,05:35,19:45
2024-01-01 18:00:00,Mumbai,28.5,28.8,58,1012,15.2,285,22.8,0.0,none,25,15.2,2,60,62,32,52,48,13,4,0.3,24.5,36,1.0,29.5,28.8,19.2,23.2,2100,0,0,0,07:05,18:15,0.72,05:35,19:45
2024-01-01 21:00:00,Mumbai,25.2,25.0,68,1013,13.5,270,19.5,0.0,none,32,13.8,0,0,68,38,58,45,15,4,0.3,21.8,40,0.4,25.5,25.0,18.5,21.5,1900,0,0,0,07:05,18:15,0.72,05:35,19:45
2024-01-01 00:00:00,Bangalore,18.5,17.8,72,1015,8.5,45,12.5,0.0,none,42,10.5,0,0,52,30,45,38,12,3,0.3,16.0,38,0.0,18.5,17.8,13.5,15.8,1650,0,0,0,06:45,18:00,0.72,05:15,19:30
2024-01-01 03:00:00,Bangalore,17.2,16.5,78,1016,7.2,38,10.8,0.0,none,48,9.8,0,0,50,28,43,36,11,3,0.3,14.8,39,0.0,17.2,16.5,13.2,15.0,1580,0,0,0,06:45,18:00,0.72,05:15,19:30
2024-01-01 06:00:00,Bangalore,16.5,15.8,82,1017,6.5,30,9.5,0.0,none,55,8.5,1,20,48,26,41,35,10,3,0.2,14.2,40,0.1,16.5,15.8,13.5,14.8,1500,10,1,0,06:45,18:00,0.72,05:15,19:30
2024-01-01 09:00:00,Bangalore,22.5,22.0,62,1018,10.5,52,15.8,0.0,none,35,12.8,5,380,45,24,39,42,9,2,0.2,19.0,35,0.6,22.5,22.0,14.8,18.2,1750,0,0,1,06:45,18:00,0.72,05:15,19:30
2024-01-01 12:00:00,Bangalore,27.8,27.5,48,1016,13.2,72,19.5,0.0,none,22,15.2,7,680,42,22,37,50,8,2,0.2,23.5,30,1.2,27.8,27.5,15.2,20.5,1950,0,0,1,06:45,18:00,0.72,05:15,19:30
2024-01-01 15:00:00,Bangalore,28.5,28.2,45,1014,14.8,85,22.0,0.0,none,18,16.5,6,480,40,20,35,48,7,2,0.2,24.2,28,1.4,28.5,28.2,14.5,20.0,2050,0,0,1,06:45,18:00,0.72,05:15,19:30
2024-01-01 18:00:00,Bangalore,25.2,24.8,55,1015,11.5,75,17.2,0.0,none,28,14.0,2,50,45,24,39,45,8,2,0.2,21.0,33,0.8,25.2,24.8,14.8,19.5,1850,0,0,0,06:45,18:00,0.72,05:15,19:30
2024-01-01 21:00:00,Bangalore,21.5,21.0,65,1016,9.2,60,13.5,0.0,none,38,11.5,0,0,48,26,41,42,9,3,0.2,17.5,37,0.3,21.5,21.0,14.5,17.8,1700,0,0,0,06:45,18:00,0.72,05:15,19:30
2024-01-01 00:00:00,Kolkata,16.5,15.2,82,1018,6.5,0,9.8,0.0,none,55,8.5,0,0,95,58,85,32,22,8,0.6,13.5,45,0.0,16.5,15.2,13.5,14.8,1200,0,0,0,06:15,17:05,0.72,04:45,18:35
2024-01-01 03:00:00,Kolkata,15.2,13.8,86,1019,5.5,22,8.2,0.0,none,62,7.5,0,0,98,62,90,30,23,9,0.7,12.8,46,0.0,15.2,13.8,12.8,13.8,1120,0,0,0,06:15,17:05,0.72,04:45,18:35
2024-01-01 06:00:00,Kolkata,14.5,13.0,90,1020,5.0,45,7.5,0.0,none,68,6.2,0,15,102,65,95,28,24,10,0.8,12.5,48,0.0,14.5,13.0,12.8,13.5,1050,45,1,0,06:15,17:05,0.72,04:45,18:35
2024-01-01 09:00:00,Kolkata,19.5,18.8,72,1019,8.5,48,13.2,0.0,none,45,9.8,4,350,88,52,78,38,20,7,0.5,16.2,42,0.5,19.5,18.8,14.2,16.5,1350,0,0,1,06:15,17:05,0.72,04:45,18:35
2024-01-01 12:00:00,Kolkata,24.5,24.0,58,1017,12.5,68,18.5,0.0,none,32,12.5,6,620,78,45,68,48,16,5,0.4,20.5,38,1.0,24.5,24.0,15.2,19.2,1600,0,0,1,06:15,17:05,0.72,04:45,18:35
2024-01-01 15:00:00,Kolkata,26.2,25.8,52,1015,14.2,82,21.0,0.0,none,25,14.0,5,450,72,42,65,52,14,4,0.4,21.8,35,1.2,26.2,25.8,14.8,19.5,1750,0,0,1,06:15,17:05,0.72,04:45,18:35
2024-01-01 18:00:00,Kolkata,22.8,22.2,65,1016,10.5,90,15.5,0.0,none,38,11.5,1,35,82,48,72,45,18,6,0.5,18.5,40,0.6,22.8,22.2,15.5,18.8,1500,0,0,0,06:15,17:05,0.72,04:45,18:35
2024-01-01 21:00:00,Kolkata,19.2,18.5,75,1017,8.0,70,11.8,0.0,none,48,9.5,0,0,88,52,78,40,20,7,0.5,16.0,43,0.2,19.2,18.5,14.8,16.8,1320,0,0,0,06:15,17:05,0.72,04:45,18:35
2024-01-01 00:00:00,Chennai,24.5,24.2,78,1012,10.5,45,15.5,0.0,none,45,11.5,0,0,62,35,52,40,14,4,0.3,21.5,38,0.0,24.5,24.2,20.5,22.2,1850,0,0,0,06:35,17:55,0.72,05:05,19:25
2024-01-01 03:00:00,Chennai,23.5,23.0,82,1013,9.2,38,13.8,0.0,none,52,10.8,0,0,60,33,50,38,13,4,0.3,20.5,40,0.0,23.5,23.0,20.2,21.5,1780,0,0,0,06:35,17:55,0.72,05:05,19:25
2024-01-01 06:00:00,Chennai,22.8,22.2,85,1014,8.5,30,12.5,0.0,none,58,9.5,1,25,58,32,48,36,12,4,0.3,19.8,42,0.1,22.8,22.2,20.0,21.2,1700,51,1,0,06:35,17:55,0.72,05:05,19:25
2024-01-01 09:00:00,Chennai,27.5,27.8,68,1015,12.8,52,19.0,0.0,none,38,13.2,6,450,52,28,45,48,10,3,0.2,24.2,35,0.8,28.2,27.8,20.8,23.5,2000,0,0,1,06:35,17:55,0.72,05:05,19:25
2024-01-01 12:00:00,Chennai,31.5,32.2,55,1013,16.5,72,24.5,0.0,none,25,15.5,8,750,48,25,42,55,9,3,0.2,27.5,30,1.4,33.5,32.2,21.2,25.2,2250,0,0,1,06:35,17:55,0.72,05:05,19:25
2024-01-01 15:00:00,Chennai,32.8,34.0,48,1011,18.2,85,27.5,0.0,none,18,17.5,7,520,45,22,40,52,8,2,0.2,28.2,28,1.6,35.2,34.0,20.5,24.8,2400,0,0,1,06:35,17:55,0.72,05:05,19:25
2024-01-01 18:00:00,Chennai,29.5,29.8,58,1012,14.5,75,21.5,0.0,none,28,14.8,2,55,52,28,45,48,10,3,0.2,25.5,33,0.9,30.5,29.8,21.0,24.5,2100,0,0,0,06:35,17:55,0.72,05:05,19:25
2024-01-01 21:00:00,Chennai,26.2,26.0,70,1013,11.8,60,17.5,0.0,none,38,12.5,0,0,58,32,48,45,12,3,0.3,22.8,36,0.4,26.5,26.0,20.5,23.0,1950,0,0,0,06:35,17:55,0.72,05:05,19:25
2024-01-02 00:00:00,New Delhi,13.0,10.8,80,1017,7.5,50,11.2,0.0,none,55,8.0,0,0,152,92,132,34,29,14,1.0,10.2,36,0.0,13.0,10.8,9.5,11.2,1100,0,0,0,07:15,17:46,0.73,05:45,19:16
2024-01-02 06:00:00,New Delhi,10.2,7.8,88,1019,5.8,35,8.5,0.2,drizzle,75,5.5,0,20,175,115,155,30,36,20,1.3,9.0,38,0.0,10.2,7.8,8.2,9.0,950,61,2,0,07:15,17:46,0.73,05:45,19:16
2024-01-02 09:00:00,New Delhi,12.8,11.5,78,1018,8.2,42,12.8,0.5,rain,68,7.8,2,150,165,105,145,38,32,16,1.1,11.5,37,0.3,12.8,11.5,9.0,10.8,1050,63,2,1,07:15,17:46,0.73,05:45,19:16
2024-01-02 12:00:00,New Delhi,15.5,14.2,68,1016,11.5,58,17.2,0.8,rain,58,9.5,3,280,155,95,135,45,28,13,0.9,13.8,35,0.5,15.5,14.2,9.5,12.2,1180,63,2,1,07:15,17:46,0.73,05:45,19:16
2024-01-02 15:00:00,New Delhi,16.2,15.0,65,1015,13.2,72,19.5,0.3,drizzle,52,10.8,3,220,148,88,128,48,25,11,0.8,14.5,34,0.6,16.2,15.0,9.8,12.8,1250,61,1,1,07:15,17:46,0.73,05:45,19:16
2024-01-02 18:00:00,New Delhi,14.8,13.5,72,1016,10.5,85,15.2,0.0,none,45,11.2,1,30,152,92,132,42,27,12,0.9,13.2,35,0.4,14.8,13.5,10.2,12.2,1180,0,0,0,07:15,17:46,0.73,05:45,19:16
2024-01-02 21:00:00,New Delhi,13.2,11.8,78,1017,8.2,75,12.0,0.0,none,52,9.5,0,0,155,95,135,38,29,13,1.0,11.5,36,0.1,13.2,11.8,9.8,11.5,1100,0,0,0,07:15,17:46,0.73,05:45,19:16
2024-01-03 00:00:00,New Delhi,11.8,9.5,82,1018,7.0,45,10.2,0.0,none,50,8.0,0,0,158,98,138,35,30,14,1.0,10.0,37,0.0,11.8,9.5,8.8,10.2,1080,0,0,0,07:15,17:47,0.74,05:45,19:17
2024-01-03 06:00:00,New Delhi,9.5,7.0,90,1020,5.5,38,8.0,0.0,none,65,5.5,0,18,172,112,152,32,34,18,1.2,8.8,38,0.0,9.5,7.0,7.8,8.5,980,45,1,0,07:15,17:47,0.74,05:45,19:17
2024-01-03 12:00:00,New Delhi,17.5,16.8,60,1018,11.0,62,16.5,0.0,none,30,12.0,5,520,140,80,120,52,24,10,0.8,15.0,32,1.0,17.5,16.8,10.2,13.5,1380,0,0,1,07:15,17:47,0.74,05:45,19:17
2024-01-03 18:00:00,New Delhi,15.5,14.2,68,1017,9.5,82,14.0,0.0,none,40,10.8,2,35,148,88,128,45,26,11,0.9,13.5,33,0.5,15.5,14.2,10.0,12.5,1250,0,0,0,07:15,17:47,0.74,05:45,19:17

